"all_riders" "rider_class" "stage" "points" "stage_class"
"Felix Gall" "Climber" "X2" 2 "hills"
"Felix Gall" "Climber" "X3" 1 "flat"
"Felix Gall" "Climber" "X4" 2 "hills"
"Felix Gall" "Climber" "X6" 23 "hills"
"Felix Gall" "Climber" "X7" 147 "hills"
"Felix Gall" "Climber" "X8" 7 "flat"
"Felix Gall" "Climber" "X9" 7 "flat"
"Felix Gall" "Climber" "X10" 28 "hills"
"Felix Gall" "Climber" "X11" 10 "hills"
"Felix Gall" "Climber" "X12" 94 "mount"
"Felix Gall" "Climber" "X14" 171 "mount"
"Felix Gall" "Climber" "X15" 14 "hills"
"Felix Gall" "Climber" "X16" 30 "mount"
"Felix Gall" "Climber" "X17" 14 "flat"
"Felix Gall" "Climber" "X18" 153 "mount"
"Felix Gall" "Climber" "X19" 132 "mount"
"Felix Gall" "Climber" "X20" 16 "hills"
"Felix Gall" "Climber" "X21" 16 "flat"
"Carlos Rodríguez" "Climber" "X1" 0 "flat"
"Carlos Rodríguez" "Climber" "X2" 0 "hills"
"Carlos Rodríguez" "Climber" "X3" 0 "flat"
"Carlos Rodríguez" "Climber" "X4" 0 "hills"
"Carlos Rodríguez" "Climber" "X6" 4 "hills"
"Carlos Rodríguez" "Climber" "X7" 31 "hills"
"Carlos Rodríguez" "Climber" "X8" 6 "flat"
"Carlos Rodríguez" "Climber" "X9" 6 "flat"
"Carlos Rodríguez" "Climber" "X10" 25 "hills"
"Carlos Rodríguez" "Climber" "X11" 9 "hills"
"Carlos Rodríguez" "Climber" "X12" 9 "mount"
"Carlos Rodríguez" "Climber" "X14" 71 "mount"
"Carlos Rodríguez" "Climber" "X15" 20 "hills"
"Carlos Rodríguez" "Climber" "X16" 36 "mount"
"Carlos Rodríguez" "Climber" "X17" 11 "flat"
"Carlos Rodríguez" "Climber" "X18" 0 "mount"
"Carlos Rodríguez" "Climber" "X19" 0 "mount"
"Carlos Rodríguez" "Climber" "X20" 0 "hills"
"Carlos Rodríguez" "Climber" "X21" 0 "flat"
"Enric Mas" "Climber" "X1" 0 "flat"
"Enric Mas" "Climber" "X2" 55 "hills"
"Enric Mas" "Climber" "X3" 15 "flat"
"Enric Mas" "Climber" "X4" 31 "hills"
"Enric Mas" "Climber" "X6" 20 "hills"
"Enric Mas" "Climber" "X7" 16 "hills"
"Enric Mas" "Climber" "X8" 8 "flat"
"Enric Mas" "Climber" "X9" 8 "flat"
"Enric Mas" "Climber" "X10" 8 "hills"
"Enric Mas" "Climber" "X11" 8 "hills"
"Enric Mas" "Climber" "X12" 6 "mount"
"Enric Mas" "Climber" "X14" 0 "mount"
"Enric Mas" "Climber" "X15" 1 "hills"
"Enric Mas" "Climber" "X16" 108 "mount"
"Enric Mas" "Climber" "X17" 3 "flat"
"Enric Mas" "Climber" "X18" 0 "mount"
"Enric Mas" "Climber" "X19" 0 "mount"
"Enric Mas" "Climber" "X20" 0 "hills"
"Enric Mas" "Climber" "X21" 0 "flat"
"Tim Merlier" "Sprinter" "X1" 0 "flat"
"Tim Merlier" "Sprinter" "X2" 5 "hills"
"Tim Merlier" "Sprinter" "X3" 226 "flat"
"Tim Merlier" "Sprinter" "X4" 6 "hills"
"Tim Merlier" "Sprinter" "X6" 4 "hills"
"Tim Merlier" "Sprinter" "X7" 4 "hills"
"Tim Merlier" "Sprinter" "X8" 21 "flat"
"Tim Merlier" "Sprinter" "X9" 234 "flat"
"Tim Merlier" "Sprinter" "X10" 6 "hills"
"Tim Merlier" "Sprinter" "X11" 4 "hills"
"Tim Merlier" "Sprinter" "X12" 4 "mount"
"Tim Merlier" "Sprinter" "X14" 2 "mount"
"Tim Merlier" "Sprinter" "X15" 2 "hills"
"Tim Merlier" "Sprinter" "X16" 12 "mount"
"Tim Merlier" "Sprinter" "X17" 5 "flat"
"Tim Merlier" "Sprinter" "X18" 2 "mount"
"Tim Merlier" "Sprinter" "X19" 1 "mount"
"Tim Merlier" "Sprinter" "X20" 3 "hills"
"Tim Merlier" "Sprinter" "X21" 0 "flat"
"Adam Yates" "All Rounder" "X1" 0 "flat"
"Adam Yates" "All Rounder" "X2" 8 "hills"
"Adam Yates" "All Rounder" "X3" 4 "flat"
"Adam Yates" "All Rounder" "X4" 14 "hills"
"Adam Yates" "All Rounder" "X6" 8 "hills"
"Adam Yates" "All Rounder" "X7" 20 "hills"
"Adam Yates" "All Rounder" "X8" 12 "flat"
"Adam Yates" "All Rounder" "X9" 12 "flat"
"Adam Yates" "All Rounder" "X10" 8 "hills"
"Adam Yates" "All Rounder" "X11" 8 "hills"
"Adam Yates" "All Rounder" "X12" 20 "mount"
"Adam Yates" "All Rounder" "X14" 47 "mount"
"Adam Yates" "All Rounder" "X15" 20 "hills"
"Adam Yates" "All Rounder" "X16" 24 "mount"
"Adam Yates" "All Rounder" "X17" 12 "flat"
"Adam Yates" "All Rounder" "X18" 99 "mount"
"Adam Yates" "All Rounder" "X19" 16 "mount"
"Adam Yates" "All Rounder" "X20" 12 "hills"
"Adam Yates" "All Rounder" "X21" 12 "flat"
"Tobias Halland Johannessen" "All Rounder" "X1" 4 "flat"
"Tobias Halland Johannessen" "All Rounder" "X2" 12 "hills"
"Tobias Halland Johannessen" "All Rounder" "X3" 13 "flat"
"Tobias Halland Johannessen" "All Rounder" "X4" 35 "hills"
"Tobias Halland Johannessen" "All Rounder" "X6" 6 "hills"
"Tobias Halland Johannessen" "All Rounder" "X7" 69 "hills"
"Tobias Halland Johannessen" "All Rounder" "X8" 9 "flat"
"Tobias Halland Johannessen" "All Rounder" "X9" 9 "flat"
"Tobias Halland Johannessen" "All Rounder" "X10" 36 "hills"
"Tobias Halland Johannessen" "All Rounder" "X11" 19 "hills"
"Tobias Halland Johannessen" "All Rounder" "X12" 168 "mount"
"Tobias Halland Johannessen" "All Rounder" "X14" 87 "mount"
"Tobias Halland Johannessen" "All Rounder" "X15" 13 "hills"
"Tobias Halland Johannessen" "All Rounder" "X16" 13 "mount"
"Tobias Halland Johannessen" "All Rounder" "X17" 13 "flat"
"Tobias Halland Johannessen" "All Rounder" "X18" 83 "mount"
"Tobias Halland Johannessen" "All Rounder" "X19" 114 "mount"
"Tobias Halland Johannessen" "All Rounder" "X20" 15 "hills"
"Tobias Halland Johannessen" "All Rounder" "X21" 21 "flat"
"Kaden Groves" "Sprinter" "X1" 18 "flat"
"Kaden Groves" "Sprinter" "X2" 18 "hills"
"Kaden Groves" "Sprinter" "X3" 117 "flat"
"Kaden Groves" "Sprinter" "X4" 12 "hills"
"Kaden Groves" "Sprinter" "X6" 12 "hills"
"Kaden Groves" "Sprinter" "X7" 0 "hills"
"Kaden Groves" "Sprinter" "X8" 160 "flat"
"Kaden Groves" "Sprinter" "X9" 60 "flat"
"Kaden Groves" "Sprinter" "X10" 0 "hills"
"Kaden Groves" "Sprinter" "X11" 52 "hills"
"Kaden Groves" "Sprinter" "X12" 0 "mount"
"Kaden Groves" "Sprinter" "X14" 0 "mount"
"Kaden Groves" "Sprinter" "X15" 2 "hills"
"Kaden Groves" "Sprinter" "X16" 0 "mount"
"Kaden Groves" "Sprinter" "X17" 4 "flat"
"Kaden Groves" "Sprinter" "X18" 0 "mount"
"Kaden Groves" "Sprinter" "X19" 0 "mount"
"Kaden Groves" "Sprinter" "X20" 244 "hills"
"Kaden Groves" "Sprinter" "X21" 50 "flat"
"Santiago Buitrago" "Climber" "X1" 0 "flat"
"Santiago Buitrago" "Climber" "X2" 39 "hills"
"Santiago Buitrago" "Climber" "X3" 7 "flat"
"Santiago Buitrago" "Climber" "X4" 4 "hills"
"Santiago Buitrago" "Climber" "X6" 23 "hills"
"Santiago Buitrago" "Climber" "X7" 0 "hills"
"Santiago Buitrago" "Climber" "X8" 0 "flat"
"Santiago Buitrago" "Climber" "X9" 0 "flat"
"Santiago Buitrago" "Climber" "X10" 0 "hills"
"Santiago Buitrago" "Climber" "X11" 0 "hills"
"Santiago Buitrago" "Climber" "X12" 0 "mount"
"Santiago Buitrago" "Climber" "X14" 0 "mount"
"Santiago Buitrago" "Climber" "X15" 25 "hills"
"Santiago Buitrago" "Climber" "X16" 180 "mount"
"Santiago Buitrago" "Climber" "X17" 0 "flat"
"Santiago Buitrago" "Climber" "X18" 12 "mount"
"Santiago Buitrago" "Climber" "X19" 0 "mount"
"Santiago Buitrago" "Climber" "X20" 0 "hills"
"Santiago Buitrago" "Climber" "X21" 2 "flat"
"Romain Grégoire" "Unclassed" "X1" 4 "flat"
"Romain Grégoire" "Unclassed" "X2" 148 "hills"
"Romain Grégoire" "Unclassed" "X3" 8 "flat"
"Romain Grégoire" "Unclassed" "X4" 124 "hills"
